,TFIDF_Score
climate,103.24696294151019
year,99.63009928922752
change,96.36139132553964
removed,92.8033644003462
people,72.66956956228643
like,65.2499244130296
climate change,63.451253481884585
would,60.088548704710995
one,58.60562256132144
human,53.084284592822925
think,52.690521584561786
much,52.15928577428885
time,51.42252052162852
nan,50.0
even,47.896972793803236
know,44.71478841679486
global,43.49432796158419
thing,43.439286034355
make,43.107921010971516
earth,43.08180527104613
get,41.84998085623612
already,41.5491580521944
science,41.30552267453878
good,41.25192763506569
emission,40.68716840671317
point,40.428916511149026
need,39.49831111844039
going,39.252504896832185
water,39.21617781914508
also,39.19649592846298
say,38.94422922101799
warming,38.940043764369165
world,37.462819746077
way,35.95349981010285
temperature,35.76010360376245
see,35.28484681053405
still,33.98582431846995
yes,33.58888586647269
china,33.5766711629962
right,33.31020233189717
country,33.056282321094
well,32.692621336366145
mean,32.52211527720136
lot,31.854039144805213
carbon,31.794657964770217
scientist,31.111188640668058
energy,31.023714775415286
nothing,31.01343644550689
could,30.98821513233536
last,30.9759379522909
level,30.917075906538393
really,30.514211326583023
many,30.435889740654915
atmosphere,29.821813223003414
problem,29.672488497589022
lol,29.45983996085676
stop,28.836685341196404
said,28.58974722468972
ago,28.484622198867964
take,28.44624796276536
impact,28.27044673726004
gas,27.602826770502084
million,27.414505190835342
big,27.286739460002245
actually,27.198572271676984
want,27.131691777639862
less,27.03043663367262
per,27.022668165303937
solar,26.996580802234845
planet,26.870198194285926
never,26.76029128014389
look,26.677024132731333
increase,26.568627951802263
ice,26.27283957784719
fossil,26.147940625570218
believe,25.533053662086335
life,25.090397431051148
natural,25.05529870459352
decade,25.011536831116526
fuel,24.899643822202094
data,24.64597328857615
read,24.580442320319527
fact,24.465585477327153
something,24.359218827575628
money,24.302547965022143
part,24.216042682430405
source,24.15759610230595
show,23.687661813498277
year ago,23.487432413476668
every,23.105938969482562
since,23.10379821291602
use,22.932831919591848
enough,22.852433949332386
evidence,22.807821747013588
better,22.675123255780406
work,22.627716056992874
caused,22.40398860033513
bad,22.36347133665782
effect,22.14951019852846
cost,22.142254193735337
